birth_state,name,rookie_yr
PA,Tom Burns,1880
PA,Doc Bushong,1880
CT,Roger Connor,1880
NY,Larry Corcoran,1880
RI,Fred Corey,1880
PA,Fred Dunlap,1880
NY,Dude Esterbrook,1880
MA,Gid Gardner,1880
GA,Patrick Gillespie,1880
CT,Ned Hanlon,1880
Canada,Arthur Irwin,1880
MA,Tim Keefe,1880
PA,Tom Poorman,1880
NY,Phil Powers,1880
OH,John Reilly,1880
OH,Lee Richmond,1880
PA,Jack Rowe,1880
MD,Lou Say,1880
Canada,Pop Smith,1880
PA,Harry Stovey,1880
CT,Bill Tobin,1880
,Stump Weidman,1880
NY,Mickey Welch,1880
MA,Art Whitney,1880
Canada,George Wood,1880
PA,Tom Burns,1880
NY,Larry Corcoran,1880
RI,Fred Corey,1880
PA,Fred Dunlap,1880
MA,Gid Gardner,1880
Canada,Arthur Irwin,1880
MA,Tim Keefe,1880
PA,Tom Poorman,1880
OH,Lee Richmond,1880
Canada,Pop Smith,1880
PA,Harry Stovey,1880
,Stump Weidman,1880
NY,Mickey Welch,1880
MA,Art Whitney,1880
Canada,George Wood,1880
PA,Pat Deasley,1881
NY,Jerry Denny,1881
MA,George Derby,1881
OH,Buck Ewing,1881
MA,John Fox,1881
NY,Jack Lynch,1881
NY,Frank Mountain,1881
IL,Mike Moynahan,1881
MA,Martin Powell,1881
DC,Billy Taylor,1881
MD,Sam Trott,1881
NY,Jim Whitney,1881
NY,Jerry Denny,1881
MA,George Derby,1881
OH,Buck Ewing,1881
MA,John Fox,1881
NY,Jack Lynch,1881
NY,Frank Mountain,1881
DC,Billy Taylor,1881
NY,Jim Whitney,1881
PA,Harry Arundel,1882
PA,Jud Birchall,1882
CA,Bob Blakiston,1882
NY,Fatty Briody,1882
United Kingdom,Tom Brown,1882
KY,Pete Browning,1882
KY,Monk Cline,1882
IL,Charlie Comiskey,1882
Ireland,Hugh Daily,1882
CT,Jerry Dorgan,1882
NY,Bert Dorr,1882
MA,Denny Driscoll,1882
CT,Jim Egan,1882
NY,Joe Farrell,1882
PA,Eddie Fusselback,1882
,Bill Geiss,1882
MO,Bill Gleason,1882
MO,Jack Gleason,1882
NY,Jackie Hayes,1882
PA,Guy Hecker,1882
PA,Charlie Householder,1882
PA,Doc Landis,1882
PA,Chappy Lane,1882
CT,Jack Leary,1882
VT,Fred Mann,1882
PA,Leech Maskrey,1882
MO,Harry McCaffery,1882
MO,Jumbo McGinnis,1882
NY,Bid McPhee,1882
,Mike Muldoon,1882
Ireland,Tony Mullane,1882
PA,Henry Myers,1882
United Kingdom,Hugh Nicol,1882
KY,Fred Pfeffer,1882
NY,Gracie Pierce,1882
KY,John Reccius,1882
NY,Chief Roseman,1882
CT,Ed Rowen,1882
NY,John Schappert,1882
NY,Bill Schenck,1882
NY,George Seward,1882
PA,John Shetzline,1882
MD,Bill Smiley,1882
MD,John Smith,1882
KY,Joe Sommer,1882
,Dan Stearns,1882
PA,Cub Stricker,1882
RI,Dan Sullivan,1882
Ireland,Sleeper Sullivan,1882
IL,Ed Swartwood,1882
PA,Bill Sweeney,1882
NY,Dasher Troy,1882
PA,Ed Whiting,1882
OH,Sam Wise,1882
,Chicken Wolf,1882
PA,Harry Arundel,1882
United Kingdom,Tom Brown,1882
KY,Pete Browning,1882
IL,Charlie Comiskey,1882
Ireland,Hugh Daily,1882
NY,Bert Dorr,1882
MA,Denny Driscoll,1882
CT,Jim Egan,1882
PA,Eddie Fusselback,1882
,Bill Geiss,1882
PA,Guy Hecker,1882
PA,Doc Landis,1882
CT,Jack Leary,1882
MO,Jumbo McGinnis,1882
Ireland,Tony Mullane,1882
PA,Henry Myers,1882
KY,Fred Pfeffer,1882
KY,John Reccius,1882
NY,Chief Roseman,1882
NY,John Schappert,1882
NY,Bill Schenck,1882
KY,Joe Sommer,1882
PA,Cub Stricker,1882
IL,Ed Swartwood,1882
PA,Bill Sweeney,1882
,Chicken Wolf,1882
,Jersey Bakley,1883
DC,Bob Barr,1883
MA,Charlie Buffinton,1883
MA,Dick Burns,1883
IA,Cliff Carroll,1883
NY,John Coleman,1883
PA,Pop Corkhill,1883
MA,Sam Crane,1883
OH,Ed Cushman,1883
NY,Ren Deagle,1883
NY,Tom Dolan,1883
OH,Ed Dundon,1883
Canada,Bob Emslie,1883
ME,Sid Farrar,1883
PA,Jim Field,1883
PA,Bill Gallagher,1883
MA,Mert Hackett,1883
RI,Art Hagan,1883
PA,Hardie Henderson,1883
Ireland,Mike Hines,1883
OH,Jack Jones,1883
NJ,John Kelly,1883
IL,Rudy Kemmler,1883
PA,Ed Kennedy,1883
Germany,Bill Kuehne,1883
NH,Arlie Latham,1883
NY,Fred Lewis,1883
CT,Jim Lillie,1883
United Kingdom,Tim Manning,1883
PA,Jerry McCormick,1883
Ireland,Frank McLaughlin,1883
KY,Tom McLaughlin,1883
DC,Bill Morgan,1883
CA,Sandy Nava,1883
NY,Jack Neagle,1883
MA,Paul Radford,1883
NY,Charlie Reipschlager,1883
MO,Frank Ringo,1883
PA,Dave Rowe,1883
OH,Will Sawyer,1883
MA,Dupee Shaw,1883
WI,Joe Straub,1883
CA,Charlie Sweeney,1883
NY,John Valentine,1883
,Jersey Bakley,1883
DC,Bob Barr,1883
MA,Charlie Buffinton,1883
MA,Dick Burns,1883
NY,John Coleman,1883
PA,Pop Corkhill,1883
OH,Ed Cushman,1883
NY,Ren Deagle,1883
NY,Tom Dolan,1883
OH,Ed Dundon,1883
Canada,Bob Emslie,1883
PA,Jim Field,1883
PA,Bill Gallagher,1883
RI,Art Hagan,1883
PA,Hardie Henderson,1883
OH,Jack Jones,1883
CT,Jim Lillie,1883
PA,Jerry McCormick,1883
Ireland,Frank McLaughlin,1883
NY,Jack Neagle,1883
MA,Paul Radford,1883
PA,Dave Rowe,1883
OH,Will Sawyer,1883
MA,Dupee Shaw,1883
CA,Charlie Sweeney,1883
NY,John Valentine,1883
OH,Ed Andrews,1884
IL,Al Atkinson,1884
IN,Jake Aydelott,1884
,Ed Bagley,1884
MO,George Baker,1884
PA,Phil Baker,1884
KY,Kid Baldwin,1884
PA,Charlie Barber,1884
WV,Sam Barkley,1884
PA,Ike Benners,1884
NJ,Charlie Berry,1884
OH,Bob Black,1884
PA,Henry Boyle,1884
,Jack Brennan,1884
IL,Charlie Briggs,1884
NY,Frank Brill,1884
IL,Ed Brown,1884
PA,Jim Brown,1884
MA,James Burke,1884
PA,Oyster Burns,1884
MA,Kid Butler,1884
CA,John Cahill,1884
NY,Pat Callaghan,1884
CA,Fred Carroll,1884
TN,Bob Caruthers,1884
NY,Dennis Casey,1884
MA,John Clarkson,1884
PA,Jack Clements,1884
,Billy Colgan,1884
Canada,Chub Collins,1884
MA,Ed Conley,1884
NJ,John Connor,1884
PA,Jim Conway,1884
MA,Jack Corcoran,1884
MA,Ed Crane,1884
OH,Joe Crotty,1884
MA,John Crowley,1884
MA,Daisy Davis,1884
PA,John Deasley,1884
CT,Jim Donnelly,1884
NY,Ed Dugan,1884
OH,Joe Ellick,1884
NY,Tom Evers,1884
MA,Frank Fennelly,1884
VA,Charlie Ferguson,1884
,John Fischer,1884
RI,Joe Flynn,1884
CA,Jim Fogarty,1884
NY,Tom Forster,1884
MD,Dave Foutz,1884
PA,Chris Fulmer,1884
,Charlie Geggus,1884
,Pretzels Getzien,1884
DC,Buck Gladmon,1884
VA,Ed Glenn,1884
WI,Bernie Graham,1884
PA,Bill Greenwood,1884
PA,Joe Gunson,1884
MA,Walter Hackett,1884
United Kingdom,Jim Halpin,1884
NY,John Hamill,1884
PA,John Hanna,1884
NJ,John Harkins,1884
IL,Ernie Hickman,1884
PA,Charlie Hilsey,1884
IA,Charlie Hodnett,1884
PA,Buster Hoover,1884
,Patrick Horan,1884
PA,Charlie Householder,1884
Canada,John Humphries,1884
Canada,John Irwin,1884
NY,Dick Johnston,1884
FL,Ri Jones,1884
CT,Jim Keenan,1884
IN,John Kerins,1884
PA,Bill Kienzle,1884
PA,Sam Kimber,1884
KS,Walt Kinzie,1884
Canada,Joe Knight,1884
Canada,Jimmy Knowles,1884
IL,Bill Krieg,1884
PA,Henry Larkin,1884
WI,Tom Lee,1884
MO,Charlie Levis,1884
OH,Milo Lockwood,1884
United Kingdom,Mac MacArthur,1884
MA,Jim Manning,1884
MD,Steve Matthias,1884
MA,Tommy McCarthy,1884
IN,Al McCauley,1884
CA,Jim McDonald,1884
CA,Jim McElroy,1884
Ireland,John McGuinness,1884
OH,Deacon McGuire,1884
NY,Larry McKeon,1884
MA,Alex McKinnon,1884
