birth_state,name,rookie_yr
NE,Tommy Atkins,1910
KY,Cy Barger,1910
NY,Heinie Beckendorf,1910
PA,Lena Blackburne,1910
WI,Bruno Block,1910
KS,Ad Brennan,1910
OH,Billy Burke,1910
MO,Vin Campbell,1910
NY,Tommy Clarke,1910
IA,King Cole,1910
Ireland,Bill Collins,1910
MA,Shano Collins,1910
TN,Jack Dalton,1910
IL,Bert Daniels,1910
PA,Jake Daubert,1910
IN,Bill Davidson,1910
PA,Rube Dessau,1910
OH,Josh Devore,1910
TX,Louis Drucke,1910
TX,Tex Erwin,1910
VT,Chick Evans,1910
MD,Harry Fanwell,1910
VT,Ray Fisher,1910
IL,Art Fletcher,1910
RI,John Flynn,1910
Canada,Russ Ford,1910
MN,Chick Gandil,1910
VT,Larry Gardner,1910
IL,Jack Gilligan,1910
Canada,Jack Graney,1910
CA,Spec Harkness,1910
IL,Arnold Hauser,1910
NC,Ham Hyatt,1910
OH,George Kahler,1910
MI,Bill Killefer,1910
IL,Ed Kinsella,1910
PA,Elmer Knetzer,1910
IL,Elmer Koestner,1910
KY,Grover Land,1910
WI,Frank Lange,1910
PA,Jack Lapp,1910
CA,Duffy Lewis,1910
OH,Fred Link,1910
WI,Fred Luderus,1910
NC,Alex Malloy,1910
PA,Bill McKechnie,1910
MO,Paul Meloan,1910
ME,Bobby Messenger,1910
NY,Doc Miller,1910
TX,Roy Mitchell,1910
MS,Willie Mitchell,1910
PA,Herbie Moran,1910
MA,Jim Moroney,1910
OH,Red Nelson,1910
TX,Pat Newnam,1910
OH,Bill Otey,1910
OR,Hub Pernoll,1910
WV,Bill Powell,1910
IN,Bill Rariden,1910
CO,Farmer Ray,1910
PA,Roxey Roach,1910
PA,Lou Schettler,1910
CA,Fred Snodgrass,1910
IL,Eddie Stack,1910
MS,Dolly Stark,1910
PA,Bill Steele,1910
NJ,Sailor Stroud,1910
MO,Frank Truesdale,1910
TX,Hippo Vaughn,1910
PA,Dixie Walker,1910
OH,Jimmy Walsh,1910
MO,Zack Wheat,1910
NY,Elmer Zacher,1910
IN,Rollie Zeider,1910
NE,Tommy Atkins,1910
KY,Cy Barger,1910
PA,Lena Blackburne,1910
KS,Ad Brennan,1910
OH,Billy Burke,1910
IA,King Cole,1910
PA,Rube Dessau,1910
TX,Louis Drucke,1910
VT,Chick Evans,1910
MD,Harry Fanwell,1910
VT,Ray Fisher,1910
Canada,Russ Ford,1910
IL,Jack Gilligan,1910
Canada,Jack Graney,1910
CA,Spec Harkness,1910
OH,George Kahler,1910
IL,Ed Kinsella,1910
PA,Elmer Knetzer,1910
IL,Elmer Koestner,1910
WI,Frank Lange,1910
CA,Duffy Lewis,1910
OH,Fred Link,1910
NC,Alex Malloy,1910
TX,Roy Mitchell,1910
MS,Willie Mitchell,1910
MA,Jim Moroney,1910
OH,Red Nelson,1910
OH,Bill Otey,1910
OR,Hub Pernoll,1910
WV,Bill Powell,1910
CO,Farmer Ray,1910
PA,Lou Schettler,1910
IL,Eddie Stack,1910
PA,Bill Steele,1910
NJ,Sailor Stroud,1910
TX,Hippo Vaughn,1910
PA,Dixie Walker,1910
OH,Jimmy Walsh,1910
Russian Federation,Eddie Ainsmith,1911
NE,Pete Alexander,1911
WA,Jesse Baker,1911
DC,Charlie Becker,1911
NC,Rube Benton,1911
IN,Joe Benz,1911
KY,John Black,1911
CA,Fred Blanding,1911
CA,Ping Bodie,1911
IN,Ray Boyd,1911
OH,Sandy Burk,1911
IL,Hank Butcher,1911
PA,Ray Caldwell,1911
IN,Max Carey,1911
NC,Carl Cashion,1911
United Kingdom,George Chalmers,1911
IN,Roy Corhan,1911
PA,Bob Coulson,1911
TN,Tex Covington,1911
NY,Bill Cunningham,1911
MD,Eddie Dent,1911
MI,Jim Doyle,1911
OH,Delos Drake,1911
NY,Jimmy Esmond,1911
MA,Jack Ferry,1911
TX,Gus Fisher,1911
WV,Del Gainer,1911
PA,Lefty George,1911
PA,Rube Geyer,1911
OH,Roy Golden,1911
WA,Vean Gregg,1911
TX,Hank Griffin,1911
CA,Ed Hallinan,1911
IL,Earl Hamilton,1911
KS,Claude Hendrix,1911
MA,John Henry,1911
CA,Willie Hogan,1911
PA,Ben Houser,1911
Austria,Joe Hovlik,1911
PA,Bert Humphries,1911
OH,Newt Hunter,1911
OH,Scotty Ingerton,1911
MO,George Jackson,1911
MI,Bill James,1911
IN,Otis Johnson,1911
OH,Al Kaiser,1911
KS,Jack Killilay,1911
NY,Gene Krapp,1911
LA,Ed Lafitte,1911
AL,Jack Lively,1911
IN,Grover Lowdermilk,1911
IN,Lou Lowdermilk,1911
MA,Bunny Madden,1911
Cuba,Armando Marsans,1911
AR,Bert Maxwell,1911
IL,Alex McCarthy,1911
IL,Ed McDonald,1911
MA,Stuffy McInnis,1911
NC,Walter Moser,1911
WA,Charlie Mullen,1911
TX,Jim Murray,1911
CA,Judge Nagle,1911
TX,Hub Northen,1911
NE,Les Nunamaker,1911
MO,Ivy Olson,1911
SD,Jiggs Parson,1911
TN,Hub Perdue,1911
MO,Pat Ragan,1911
Germany,Reggie Richter,1911
WI,Joe Riggert,1911
MI,Vic Saier,1911
OH,Bill Schardt,1911
PA,Fred Sherry,1911
OH,Burt Shotton,1911
IN,Mike Simon,1911
PA,Wally Smith,1911
VA,Harry Spratt,1911
PA,Amos Strunk,1911
TN,Fred Toney,1911
MI,Bert Tooley,1911
NH,Lefty Tyler,1911
TN,Tillie Walker,1911
KY,Orlie Weaver,1911
IL,Hi West,1911
IL,Rip Williams,1911
IL,Art Wilson,1911
PA,Steve Yerkes,1911
