birth_state,name,rookie_yr
Panama,Manny Acosta,2008
Norway,Josh Anderson,2008
FL,Robert Andino,2008
MA,Matt Antonelli,2008
Dominican Republic,Jose Arredondo,2008
NY,Mike Aviles,2008
MI,Homer Bailey,2008
CA,John Baker,2008
Curacao,Wladimir Balentien,2008
CA,Collin Balester,2008
MD,Josh Banks,2008
CA,Brian Barton,2008
MO,Daric Barton,2008
NC,Brian Bass,2008
Dominican Republic,Randor Bierd,2008
OK,Nick Blackburn,2008
Venezuela,Gregor Blanco,2008
MO,Brandon Boggs,2008
Dominican Republic,Emilio Bonifacio,2008
TX,Michael Bourn,2008
CA,John Bowker,2008
GA,Blaine Boyer,2008
CT,Craig Breslow,2008
TX,Jay Bruce,2008
TX,Clay Buchholz,2008
DC,Emmanuel Burriss,2008
SC,Jared Burton,2008
FL,Brian Buscher,2008
Mexico,Jorge Campillo,2008
CT,Jesse Carlson,2008
CA,Jack Cassel,2008
OR,Kory Casto,2008
CA,Joba Chamberlain,2008
TX,Rocky Cherry,2008
IA,Jeff Clement,2008
GA,Buck Coats,2008
LA,Roy Corcoran,2008
Dominican Republic,Johnny Cueto,2008
Jamaica,Chris Davis,2008
KS,Joey Devine,2008
MO,Blake DeWitt,2008
MO,Joe Dillon,2008
CA,Phil Dumatrait,2008
AZ,Shelley Duncan,2008
Mexico,German Duran,2008
OR,Jacoby Ellsbury,2008
CA,Ben Francisco,2008
Japan,Kosuke Fukudome,2008
Venezuela,Armando Galarraga,2008
MA,Sean Gallagher,2008
CA,Dan Giese,2008
Dominican Republic,Carlos Gomez,2008
Venezuela,Carlos Gonzalez,2008
Mexico,Edgar Gonzalez,2008
TX,Carlos Guevara,2008
Nicaragua,Devern Hansack,2008
NY,Craig Hansen,2008
NC,Matt Harrison,2008
CA,Nathan Haynes,2008
CO,Chase Headley,2008
Dominican Republic,Anderson Hernandez,2008
Venezuela,Luis Hernandez,2008
CO,Luke Hochevar,2008
Australia,Justin Huber,2008
OR,Nick Hundley,2008
PA,Zach Jackson,2008
Dominican Republic,Kelvin Jimenez,2008
CA,Charlton Jimerson,2008
TN,Jim Johnson,2008
DE,Brandon Jones,2008
FL,Ryan Jorgensen,2008
FL,Matthew Joyce,2008
Curacao,Jair Jurrjens,2008
CA,Ian Kennedy,2008
TX,Clayton Kershaw,2008
CA,Brandon Knight,2008
Japan,Masahide Kobayashi,2008
Japan,Hiroki Kuroda,2008
MD,Aaron Laffey,2008
MA,Bryan LaHair,2008
NY,John Lannan,2008
KS,Andy LaRoche,2008
OH,Jensen Lewis,2008
Dominican Republic,Radhames Liz,2008
CA,Evan Longoria,2008
SD,Shane Loux,2008
TX,Mark Lowe,2008
OR,Jed Lowrie,2008
FL,Charlie Manning,2008
FL,Nick Masset,2008
Jamaica,Justin Masterson,2008
WI,Joe Mather,2008
CA,Paul McAnulty,2008
CA,Scott McClain,2008
MO,Kyle McClellan,2008
Mexico,Luis Mendoza,2008
IL,Pat Misch,2008
Venezuela,Franklin Morales,2008
CA,Nyjer Morgan,2008
OH,Charlie Morton,2008
GA,Brandon Moss,2008
Venezuela,Edward Mujica,2008
CA,Carlos Muniz,2008
