birth_state,name,rookie_yr
OH,Kurt Abbott,1994
MD,Brian Anderson,1994
Dominican Republic,Danny Bautista,1994
Dominican Republic,Esteban Beltre,1994
IL,Sean Bergman,1994
Dominican Republic,Rafael Bournigal,1994
TX,Billy Brewer,1994
CA,Brad Brink,1994
IL,John Briscoe,1994
MA,Rico Brogna,1994
Afghanistan,Jeff Bronkey,1994
Dominican Republic,Hector Carrasco,1994
Mexico,Matias Carrillo,1994
Dominican Republic,Domingo Cedeno,1994
CA,Jim Converse,1994
RI,Rod Correia,1994
CA,John Cummings,1994
Puerto Rico,Carlos Delgado,1994
IL,John Dettmer,1994
NY,Alex Diaz,1994
KY,Brian Drahman,1994
IA,Steve Dreyer,1994
CA,Jim Edmonds,1994
Dominican Republic,Tony Eusebio,1994
IL,Bryan Eversgerd,1994
Mexico,Hector Fajardo,1994
FL,Gar Finnvold,1994
NY,John Flaherty,1994
IL,Cliff Floyd,1994
MA,Tim Fortugno,1994
IL,Kevin Foster,1994
CA,Greg Gohr,1994
Mexico,Chris Gomez,1994
CA,Pat Gomez,1994
AL,Rusty Greer,1994
NJ,Bob Hamelin,1994
NY,Joey Hamilton,1994
NJ,Jeffrey Hammonds,1994
FL,Mike Hampton,1994
ND,Rick Helling,1994
Puerto Rico,Jose Hernandez,1994
NC,Sterling Hitchcock,1994
FL,John Hope,1994
CA,Chris Howard,1994
FL,James Hurst,1994
MI,Mike Ignasiak,1994
OK,Jason Jacome,1994
NY,Miguel Jimenez,1994
PA,Todd Jones,1994
MA,Jeff Juden,1994
NY,Steve Karsay,1994
CA,Ryan Klesko,1994
CA,Randy Knorr,1994
IA,Jon Lieber,1994
CA,Tony Longmire,1994
FL,Albie Lopez,1994
Puerto Rico,Javy Lopez,1994
NY,Luis Lopez,1994
IL,Mike Maksudian,1994
Dominican Republic,Josias Manzanillo,1994
Dominican Republic,Ravelo Manzanillo,1994
OH,Tom Marsh,1994
Dominican Republic,Norberto Martin,1994
OK,Pedro Martinez,1994
Dominican Republic,Francisco Matos,1994
Cuba,Tony Menendez,1994
IL,Brett Merriman,1994
MI,Matt Mieske,1994
TX,Nate Minchey,1994
CA,Keith Mitchell,1994
Dominican Republic,Raul Mondesi,1994
CA,Marcus Moore,1994
CO,James Mouton,1994
Puerto Rico,Bobby Munoz,1994
CA,Rob Natal,1994
CA,Darren Oliver,1994
CO,Mike Oquist,1994
United Kingdom,Lance Painter,1994
CA,Derek Parks,1994
FL,John Patterson,1994
NJ,Will Pennyfeather,1994
Venezuela,Carlos Pulido,1994
Puerto Rico,Manny Ramirez,1994
NY,Mike Remlinger,1994
FL,Carlos Reyes,1994
LA,Shane Reynolds,1994
IL,Bill Risley,1994
Mexico,Carlos Rodriguez,1994
CA,Rich Rowland,1994
IL,Stan Royer,1994
AL,Johnny Ruffin,1994
CA,Roger Salkeld,1994
CA,Rudy Seanez,1994
SC,Dan Smith,1994
CA,Jerry Spradlin,1994
OK,Kelly Stinnett,1994
NY,Tony Tarasco,1994
KY,Lee Tinsley,1994
Dominican Republic,Salomon Torres,1994
CA,Steve Trachsel,1994
KY,Chris Turner,1994
NY,Jose Valentin,1994
TN,William VanLandingham,1994
CA,Randy Veres,1994
CA,Fernando Vina,1994
AZ,Ed Vosberg,1994
CA,Matt Walbeck,1994
CA,Bruce Walton,1994
IN,Eric Wedge,1994
OH,Rick White,1994
CA,Rondell White,1994
MI,Gerald Williams,1994
VA,Woody Williams,1994
IL,Dan Wilson,1994
Venezuela,Eddie Zambrano,1994
MD,Brian Anderson,1994
IL,Sean Bergman,1994
TX,Billy Brewer,1994
CA,Brad Brink,1994
IL,John Briscoe,1994
Afghanistan,Jeff Bronkey,1994
Dominican Republic,Hector Carrasco,1994
CA,Jim Converse,1994
CA,John Cummings,1994
IL,John Dettmer,1994
KY,Brian Drahman,1994
IA,Steve Dreyer,1994
IL,Bryan Eversgerd,1994
Mexico,Hector Fajardo,1994
FL,Gar Finnvold,1994
MA,Tim Fortugno,1994
IL,Kevin Foster,1994
CA,Greg Gohr,1994
CA,Pat Gomez,1994
NY,Joey Hamilton,1994
FL,Mike Hampton,1994
ND,Rick Helling,1994
NC,Sterling Hitchcock,1994
FL,John Hope,1994
FL,James Hurst,1994
MI,Mike Ignasiak,1994
OK,Jason Jacome,1994
NY,Miguel Jimenez,1994
PA,Todd Jones,1994
MA,Jeff Juden,1994
NY,Steve Karsay,1994
IA,Jon Lieber,1994
FL,Albie Lopez,1994
Dominican Republic,Josias Manzanillo,1994
Dominican Republic,Ravelo Manzanillo,1994
OK,Pedro Martinez,1994
Cuba,Tony Menendez,1994
IL,Brett Merriman,1994
TX,Nate Minchey,1994
CA,Marcus Moore,1994
Puerto Rico,Bobby Munoz,1994
CA,Darren Oliver,1994
CO,Mike Oquist,1994
United Kingdom,Lance Painter,1994
Venezuela,Carlos Pulido,1994
NY,Mike Remlinger,1994
FL,Carlos Reyes,1994
LA,Shane Reynolds,1994
IL,Bill Risley,1994
AL,Johnny Ruffin,1994
CA,Roger Salkeld,1994
CA,Rudy Seanez,1994
SC,Dan Smith,1994
CA,Jerry Spradlin,1994
Dominican Republic,Salomon Torres,1994
CA,Steve Trachsel,1994
TN,William VanLandingham,1994
CA,Randy Veres,1994
AZ,Ed Vosberg,1994
CA,Bruce Walton,1994
OH,Rick White,1994
VA,Woody Williams,1994
Mexico,Juan Acevedo,1995
CA,Mark Acre,1995
LA,Manny Alexander,1995
Venezuela,Edgardo Alfonzo,1995
CA,Garret Anderson,1995
OR,Scott Anderson,1995
TX,Shane Andrews,1995
CA,Rich Aude,1995
NY,Joe Ausanio,1995
FL,Roger Bailey,1995
CA,Shawn Barton,1995
CA,Jason Bates,1995
IL,Rich Becker,1995
OH,David Bell,1995
Dominican Republic,Armando Benitez,1995
CA,Ben Blomdahl,1995
TN,Rod Bolton,1995
KS,Toby Borland,1995
CT,Ricky Bottalico,1995
CT,Darren Bragg,1995
NC,Jamie Brewington,1995
Dominican Republic,Bernardo Brito,1995
MD,Damon Buford,1995
WV,Scott Bullett,1995
Venezuela,Edgar Caceres,1995
Dominican Republic,Ramon Caraballo,1995
PA,Andy Carter,1995
NE,Jason Christiansen,1995
CA,Mike Christopher,1995
CA,Jeff Cirillo,1995
VA,Brad Clontz,1995
NV,Marty Cordova,1995
AL,Reid Cornelius,1995
TX,Brad Cornett,1995
SC,Tripp Cromer,1995
U. S. Virgin Islands,Midre Cummings,1995
Venezuela,Omar Daal,1995
KS,Johnny Damon,1995
FL,Tim Davis,1995
MD,Glenn Dishman,1995
NY,Jim Dougherty,1995
NC,Ray Durham,1995
TX,Donnie Elliott,1995
Dominican Republic,Angelo Encarnacion,1995
IL,John Ericks,1995
PA,Vaughn Eshelman,1995
FL,Carl Everett,1995
FL,Jorge Fabregas,1995
CA,Kevin Flora,1995
SC,Bryce Florie,1995
NC,Chad Fonville,1995
CA,Jason Giambi,1995
Mexico,Benji Gil,1995
CA,Brian Givens,1995
FL,Alex Gonzalez,1995
CA,Curtis Goodwin,1995
IL,Shawn Green,1995
OH,Tyler Green,1995
TX,Jeff Grotewold,1995
WI,Mark Grudzielanek,1995
OR,Eric Gunderson,1995
MO,Shawn Hare,1995
PA,Eric Helfand,1995
TN,Bobby Higginson,1995
CA,Chris Hook,1995
CA,Chris Howard,1995
FL,John Hudek,1995
CA,Brian Hunter,1995
Venezuela,Edwin Hurtado,1995
OK,Butch Huskey,1995
GA,Garey Ingram,1995
IL,Jason Isringhausen,1995
FL,Mike James,1995
KY,Kevin Jarvis,1995
TN,Doug Johns,1995
CA,Brian Johnson,1995
PA,Charles Johnson,1995
MA,Mark Johnson,1995
NC,Chipper Jones,1995
CA,Scott Karl,1995
MO,Mike Kelly,1995
CA,Brian Keyser,1995
CA,Mark Kiefer,1995
CA,Kevin King,1995
OH,Scott Klingenbeck,1995
CA,Joe Kmak,1995
PA,Rick Krivda,1995
Dominican Republic,Jose Lima,1995
Venezuela,Felipe Lira,1995
Mexico,Esteban Loaiza,1995
CA,Keith Lockhart,1995
DE,John Mabry,1995
Dominican Republic,Sandy Martinez,1995
OH,Dan Masteller,1995
OH,Mike Matheny,1995
MS,Brian Maxcy,1995
Japan,Jeff McCurry,1995
CA,Ray McDavid,1995
MO,Paul Menhart,1995
NJ,Dan Miceli,1995
Panama,Orlando Miller,1995
GA,Mike Mimbs,1995
OH,Dave Mlicki,1995
Dominican Republic,Jose Mota,1995
LA,Lyle Mouton,1995
MA,Matt Murray,1995
CA,Phil Nevin,1995
CA,Marc Newfield,1995
Puerto Rico,Melvin Nieves,1995
Japan,Hideo Nomo,1995
NC,Jon Nunnally,1995
LA,Chad Ogea,1995
Dominican Republic,Jose Oliva,1995
Dominican Republic,Luis Ortiz,1995
SC,Jayhawk Owens,1995
Dominican Republic,Jose Parra,1995
IL,Steve Parris,1995
MS,Steve Pegues,1995
IN,Brad Pennington,1995
CA,Troy Percival,1995
Dominican Republic,Carlos Perez,1995
Dominican Republic,Yorkis Perez,1995
FL,Herbert Perry,1995
Venezuela,Roberto Petagine,1995
TX,Mark Petkovsek,1995
LA,Andy Pettitte,1995
