birth_state,name,rookie_yr
AL,Terry Adams,1996
PA,Willie Adams,1996
IN,Jermaine Allensworth,1996
NY,Garvin Alston,1996
Mexico,Tavo Alvarez,1996
Dominican Republic,Luis Andujar,1996
AZ,George Arias,1996
NY,Rich Aurilia,1996
IL,Cory Bailey,1996
NC,James Baldwin,1996
NE,Kimera Bartee,1996
Dominican Republic,Tony Batista,1996
NC,Allen Battle,1996
Nicaragua,Marvin Benard,1996
IN,Alan Benes,1996
CA,Erik Bennett,1996
Mexico,Andres Berumen,1996
SC,Jaime Bluma,1996
FL,Doug Bochtler,1996
MO,Brian Boehringer,1996
Dominican Republic,Pedro Borbon,1996
LA,Steve Bourgeois,1996
AZ,Marshall Boze,1996
TX,Mark Brandenburg,1996
Dominican Republic,Jorge Brito,1996
MT,Scott Brow,1996
LA,Terry Burrows,1996
IA,Mike Busch,1996
KY,Paul Byrd,1996
Puerto Rico,Rafael Carmona,1996
Venezuela,Giovanni Carrara,1996
Venezuela,Pedro Castellano,1996
Dominican Republic,Luis Castillo,1996
Mexico,Juan Castro,1996
Venezuela,Roger Cedeno,1996
Philippines,Bobby Chouinard,1996
NY,Tony Clark,1996
IL,Ron Coomer,1996
TX,Rocky Coppinger,1996
Mexico,Francisco Cordova,1996
MI,Tim Crabtree,1996
VA,Doug Creek,1996
Dominican Republic,Fausto Cruz,1996
AL,Russ Davis,1996
CA,Scott Davison,1996
Venezuela,Alex Delgado,1996
Dominican Republic,Cesar Devarez,1996
KS,Darren Dreifort,1996
OH,Mike Durant,1996
CA,Jermaine Dye,1996
CA,Joey Eischen,1996
OR,Alan Embree,1996
ND,Darin Erstad,1996
CA,Shawn Estes,1996
Netherlands,Rikkert Faneyte,1996
IL,Sal Fasano,1996
Cuba,Osvaldo Fernandez,1996
TX,Huck Flener,1996
CA,Andy Fox,1996
Venezuela,Rich Garces,1996
TX,Steve Gibralter,1996
MI,Mike Grace,1996
OH,Darren Hall,1996
CA,Lee Hancock,1996
TX,Todd Haney,1996
CA,Greg Hansell,1996
CA,Dean Hartgraves,1996
IN,LaTroy Hawkins,1996
GA,Jimmy Haynes,1996
Venezuela,Jose Herrera,1996
CA,Denny Hocking,1996
OH,Todd Hollandsworth,1996
CO,Mark Holzemer,1996
PA,Dwayne Hosey,1996
NV,Tyler Houston,1996
MA,Matt Howard,1996
IL,Trent Hubbard,1996
TX,Joe Hudson,1996
IL,Rick Huisman,1996
CA,Rich Hunter,1996
Australia,Mark Hutton,1996
GA,Tim Hyers,1996
FL,Marty Janzen,1996
NJ,Derek Jeter,1996
CA,Kevin Jordan,1996
PA,Matt Karchner,1996
NY,Greg Keagle,1996
CA,Jason Kendall,1996
CA,Brent Knackert,1996
MS,Matt Lawton,1996
PA,Jesse Levis,1996
CA,Mike Lieberthal,1996
AR,Kevin Lomon,1996
CA,Mark Loretta,1996
MS,Wendell Magee,1996
LA,Barry Manuel,1996
Puerto Rico,Oreste Marrero,1996
NC,Quinton McCracken,1996
MN,Tim McIntosh,1996
Dominican Republic,Miguel Mejia,1996
Panama,Ramiro Mendoza,1996
LA,Jose Mercedes,1996
TN,Mike Milchin,1996
AZ,Kurt Miller,1996
AL,Mike Mordecai,1996
MI,Bill Mueller,1996
SC,Glenn Murray,1996
IL,Mike Myers,1996
IL,Rodney Myers,1996
CA,Dan Naulty,1996
MI,Les Norman,1996
Panama,Sherman Obando,1996
FL,Alex Ochoa,1996
Cuba,Rey Ordonez,1996
NY,Keith Osik,1996
Mexico,Antonio Osuna,1996
Puerto Rico,Ricky Otero,1996
VA,Eric Owens,1996
Dominican Republic,Jose Paniagua,1996
Germany,Dave Pavlas,1996
OH,Eddie Perez,1996
Venezuela,Robert Perez,1996
Cuba,Tomas Perez,1996
MA,Robert Person,1996
KY,Chris Peters,1996
CA,Greg Pirkl,1996
KY,Dale Polley,1996
AL,Mike Potts,1996
IL,Jay Powell,1996
DC,Curtis Pride,1996
MN,Tom Quinlan,1996
WI,Joe Randa,1996
Colombia,Edgar Renteria,1996
Puerto Rico,Tony Rodriguez,1996
NJ,Jose Rosado,1996
OH,Matt Ruebel,1996
PA,Gene Schall,1996
ID,Jason Schmidt,1996
MN,Jeff Schmidt,1996
IN,Keith Shepherd,1996
OH,Paul Shuey,1996
CA,Bill Simas,1996
NY,Duane Singleton,1996
TX,Mike Sirotka,1996
OR,Mark Small,1996
MO,Mark Smith,1996
KY,Chris Snopek,1996
CA,Dennis Springer,1996
Canada,Matt Stairs,1996
CA,Todd Steverson,1996
