birth_state,name,rookie_yr
Dominican Republic,Fernando Abad,2011
NC,Dustin Ackley,2011
KY,Nathan Adcock,2011
Dominican Republic,Al Alburquerque,2011
Dominican Republic,Erick Almonte,2011
Cuba,Yonder Alonso,2011
Venezuela,Jose Altuve,2011
Venezuela,Henderson Alvarez,2011
CA,Hector Ambriz,2011
FL,Bryan Augenstein,2011
OR,Darwin Barney,2011
MI,Anthony Bass,2011
NY,Mike Baxter,2011
IN,Brandon Beachy,2011
Dominican Republic,Pedro Beato,2011
TX,Blake Beavan,2011
TX,Brandon Belt,2011
Dominican Republic,Omar Beltre,2011
IL,Charlie Blackmon,2011
VA,Brian Bocock,2011
IL,Brian Bogusevic,2011
CA,Zach Britton,2011
TN,Rex Brothers,2011
FL,Domonic Brown,2011
NJ,Greg Burke,2011
OH,Tony Campana,2011
Puerto Rico,Robinson Cancel,2011
MD,Luke Carlin,2011
WV,David Carpenter,2011
,Drew Carpenter,2011
Venezuela,Ezequiel Carrera,2011
CA,Matt Carson,2011
FL,Bobby Cassevah,2011
Dominican Republic,Jose Ceda,2011
Cuba,Aroldis Chapman,2011
CA,Tyler Chatwood,2011
NC,Lonnie Chisenhall,2011
Dominican Republic,Pedro Ciriaco,2011
MA,Steve Cishek,2011
MA,Alex Cobb,2011
MS,Louis Coleman,2011
MA,Tim Collins,2011
MI,Josh Collmenter,2011
WA,Hank Conger,2011
Puerto Rico,Carlos Corporan,2011
Mexico,Dan Cortes,2011
NV,Scott Cousins,2011
CA,Allen Craig,2011
CA,Brandon Crawford,2011
FL,Michael Crotta,2011
KS,Aaron Crow,2011
Puerto Rico,Tony Cruz,2011
WA,Colin Curtis,2011
CA,Blake Davis,2011
CA,Daniel Descalso,2011
FL,Tim Dillard,2011
KS,Andy Dirks,2011
Venezuela,Felix Doubront,2011
TX,Kyle Drabek,2011
CA,Lucas Duda,2011
CA,Danny Duffy,2011
MS,Jarrod Dyson,2011
MO,Scott Elbert,2011
Venezuela,Edgmer Escalona,2011
Venezuela,Sergio Escalona,2011
CA,Danny Espinosa,2011
GA,Tyler Flowers,2011
CA,Darren Ford,2011
TN,Logan Forsythe,2011
CA,Freddie Freeman,2011
ME,Charlie Furbush,2011
TX,Dillon Gee,2011
AR,Craig Gentry,2011
LA,Johnny Giavotella,2011
DE,Paul Goldschmidt,2011
MA,Brandon Gomes,2011
FL,Dee Gordon,2011
TX,Javy Guerra,2011
Venezuela,Jesus Guzman,2011
MD,Mark Hamilton,2011
MN,Brad Hand,2011
MO,Lucas Harrell,2011
MA,Josh Harrison,2011
IA,Jeremy Hellickson,2011
TX,Brandon Hicks,2011
MS,Jarrett Hoffpauir,2011
NC,Greg Holland,2011
CA,Steve Holm,2011
OH,Paul Hoover,2011
FL,Eric Hosmer,2011
Australia,Luke Hughes,2011
Curacao,Kenley Jansen,2011
VA,Jeremy Jeffress,2011
AL,Desmond Jennings,2011
Venezuela,Cesar Jimenez,2011
Dominican Republic,Waldis Joaquin,2011
IN,Elliot Johnson,2011
AL,Craig Kimbrel,2011
NV,Brandon Kintzler,2011
IL,Jason Kipnis,2011
FL,Michael Kirkman,2011
SC,Michael Kohn,2011
Canada,Brett Lawrie,2011
MO,Sam LeCure,2011
WA,Rommie Lewis,2011
Venezuela,Jose Lobaton,2011
