birth_state,name,rookie_yr
GA,Brent Abernathy,2001
Dominican Republic,Jose Acevedo,2001
WA,Justin Atchley,2001
Dominican Republic,Benito Baez,2001
Cuba,Danys Baez,2001
CA,Rod Barajas,2001
Dominican Republic,Lorenzo Barcelo,2001
CA,John Barnes,2001
PA,Joe Beimel,2001
TX,Kevin Beirne,2001
NV,Rocky Biddle,2001
CA,Nick Bierbrodt,2001
IN,Larry Bigbie,2001
IA,Casey Blake,2001
TX,Matt Blank,2001
Puerto Rico,Hiram Bocachica,2001
MS,Chad Bradford,2001
IL,Dee Brown,2001
FL,Brian Buchanan,2001
OH,Mike Buddie,2001
Puerto Rico,Javier Cardona,2001
AK,Shawn Chacon,2001
TX,Randy Choate,2001
Canada,Stubby Clapp,2001
CA,Brady Clark,2001
IL,Tony Cogan,2001
CA,Dave Coggin,2001
TN,Michael Coleman,2001
SC,Paxton Crawford,2001
Puerto Rico,Cesar Crespo,2001
LA,Jack Cressend,2001
Venezuela,Darwin Cubillan,2001
IL,Mark Dalesandro,2001
WV,Kane Davis,2001
FL,Lance Davis,2001
NJ,Mark DeRosa,2001
UT,Brandon Duckworth,2001
TX,Adam Dunn,2001
VA,Mike Duvall,2001
FL,David Eckstein,2001
MI,Robert Ellis,2001
Venezuela,Horacio Estrada,2001
CA,Johnny Estrada,2001
Dominican Republic,Pedro Feliz,2001
NY,Nelson Figueroa,2001
PA,Bob File,2001
NJ,Kris Foster,2001
AR,Ryan Franklin,2001
PA,Chris George,2001
MI,Jay Gibbons,2001
CA,Marcus Giles,2001
OH,Gary Glover,2001
Puerto Rico,Dicky Gonzalez,2001
Canada,Steve Green,2001
MS,Luther Hackman,2001
NC,Toby Hall,2001
NC,Wes Helms,2001
Puerto Rico,Alex Hernandez,2001
CA,Erik Hiljus,2001
CA,Shea Hillenbrand,2001
OH,Aubrey Huff,2001
VA,Brandon Inge,2001
Venezuela,Cesar Izturis,2001
Singapore,Robin Jennings,2001
CA,Mike Judd,2001
TX,Randy Keisler,2001
NY,Joe Kennedy,2001
IL,Ray King,2001
MI,Mike Kinkade,2001
KS,Ryan Kohlmeier,2001
CA,Brandon Kolb,2001
OH,Brian Lawrence,2001
MA,Allen Levrault,2001
CA,Jeff Liefer,2001
CA,Ted Lilly,2001
CA,Kyle Lohse,2001
Puerto Rico,Felipe Lopez,2001
Venezuela,Fernando Lunar,2001
UT,Brandon Lyon,2001
IL,Rob Mackowiak,2001
NY,Jason Marquis,2001
IL,Troy Mattes,2001
VA,Mike Matthews,2001
TN,Jason Maxwell,2001
MS,Allen McDill,2001
AR,Tony McKnight,2001
Puerto Rico,Hector Mercado,2001
IL,Chris Michalak,2001
CA,Chad Moeller,2001
Canada,Aaron Myette,2001
OH,Chris Nichting,2001
Dominican Republic,Jose Nunez,2001
CA,Augie Ojeda,2001
Puerto Rico,Hector Ortiz,2001
Puerto Rico,Jose Ortiz,2001
MS,Roy Oswalt,2001
NM,Christian Parker,2001
PA,John Parrish,2001
GA,Corey Patterson,2001
IL,Josh Paul,2001
Dominican Republic,Santiago Perez,2001
Dominican Republic,Timo Perez,2001
AZ,Adam Pettyjohn,2001
MO,Travis Phelps,2001
Puerto Rico,Joel Pineiro,2001
VA,Bo Porter,2001
CA,Dante Powell,2001
Australia,Luke Prokopec,2001
Dominican Republic,Albert Pujols,2001
SC,Britt Reames,2001
NY,Tim Redding,2001
,Tike Redman,2001
MN,Chris Reitsma,2001
Venezuela,Luis Rivas,2001
NC,Brian Roberts,2001
Dominican Republic,Willis Roberts,2001
OH,Kerry Robinson,2001
CA,Jimmy Rollins,2001
KS,Damian Rolls,2001
MA,Rob Ryan,2001
IN,Erik Sabel,2001
WA,Jared Sandberg,2001
Dominican Republic,Victor Santos,2001
FL,Brian Schneider,2001
LA,Ben Sheets,2001
Japan,Tsuyoshi Shinjo,2001
WV,Bud Smith,2001
IL,Scott Sobkowiak,2001
Dominican Republic,Alfonso Soriano,2001
OK,Junior Spivey,2001
OH,Gene Stechschulte,2001
MA,Scott Stewart,2001
CA,Joe Strong,2001
Japan,Ichiro Suzuki,2001
Cuba,Jorge Toca,2001
CA,Josh Towers,2001
TX,Jason Tyner,2001
Dominican Republic,Juan Uribe,2001
OH,Mario Valdez,2001
Dominican Republic,Luis Vizcaino,2001
TX,Ben Weber,2001
LA,Vernon Wells,2001
GA,Jake Westbrook,2001
KY,David Williams,2001
OH,Todd Williams,2001
MD,Craig Wilson,2001
OR,Jack Wilson,2001
DC,Kris Wilson,2001
CA,Matt Wise,2001
CA,Chris Woodward,2001
CA,Shawn Wooten,2001
OH,Dan Wright,2001
CA,Michael Young,2001
Venezuela,Victor Zambrano,2001
Panama,Julio Zuleta,2001
Dominican Republic,Jose Acevedo,2001
WA,Justin Atchley,2001
Dominican Republic,Benito Baez,2001
Cuba,Danys Baez,2001
Dominican Republic,Lorenzo Barcelo,2001
PA,Joe Beimel,2001
TX,Kevin Beirne,2001
NV,Rocky Biddle,2001
CA,Nick Bierbrodt,2001
TX,Matt Blank,2001
MS,Chad Bradford,2001
OH,Mike Buddie,2001
AK,Shawn Chacon,2001
TX,Randy Choate,2001
IL,Tony Cogan,2001
CA,Dave Coggin,2001
SC,Paxton Crawford,2001
LA,Jack Cressend,2001
Venezuela,Darwin Cubillan,2001
WV,Kane Davis,2001
FL,Lance Davis,2001
UT,Brandon Duckworth,2001
TX,Adam Dunn,2001
VA,Mike Duvall,2001
MI,Robert Ellis,2001
Venezuela,Horacio Estrada,2001
NY,Nelson Figueroa,2001
PA,Bob File,2001
