birth_state,name,rookie_yr
MA,Jimmy Barrett,1900
OH,Bill Bradley,1900
NJ,Dick Cogan,1900
NE,Sam Crawford,1900
TN,Pat Dillard,1900
IL,Pop Dillon,1900
MO,Patsy Flaherty,1900
MI,John Ganzel,1900
OH,Mike Kahoe,1900
IN,Doc Newton,1900
PA,Togie Pittinger,1900
OH,Ed Scott,1900
TN,Sammy Strang,1900
Ireland,Billy Sullivan,1900
KS,Dummy Taylor,1900
OH,Tom Thomas,1900
OH,Bill Bradley,1900
NJ,Dick Cogan,1900
MO,Patsy Flaherty,1900
IN,Doc Newton,1900
PA,Togie Pittinger,1900
OH,Ed Scott,1900
KS,Dummy Taylor,1900
OH,Tom Thomas,1900
IL,Harry Bay,1901
OH,Erve Beck,1901
MA,Bill Bergen,1901
WV,Curt Bernard,1901
OH,Jack Bracken,1901
MA,Kitty Bransfield,1901
OH,Roger Bresnahan,1901
Germany,Fritz Buelow,1901
MO,Jimmy Burke,1901
PA,Pete Childs,1901
NJ,Joe Connor,1901
PA,Wid Conroy,1901
PA,Bill Coughlin,1901
NJ,Fred Crolius,1901
TN,Lefty Davis,1901
TN,John Dobbs,1901
PA,Mal Eason,1901
NY,John Farrell,1901
United Kingdom,Hobe Ferris,1901
MA,Bill Fox,1901
PA,Bill Friel,1901
PA,Frank Gatins,1901
KS,Dale Gear,1901
MD,Billy Gilbert,1901
PA,Bill Hallman,1901
PA,Jack Harper,1901
NC,Jimmy Hart,1901
CA,Zaza Harvey,1901
PA,Jack Hayden,1901
IL,Tom Hughes,1901
WI,Bert Husting,1901
NY,Fred Jacklitsch,1901
PA,Jim Jackson,1901
Germany,Jack Katoll,1901
MO,Johnny Kling,1901
IL,Otto Krueger,1901
VA,Watty Lee,1901
ME,Billy Maloney,1901
PA,Christy Mathewson,1901
CT,Matty McIntyre,1901
OH,Harry McNeal,1901
IN,Roscoe Miller,1901
MA,Fred Mitchell,1901
OH,Earl Moore,1901
MA,Pat Moran,1901
NY,Ed Murphy,1901
NY,Frank Murphy,1901
NH,Art Nichols,1901
MI,Frank Owen,1901
ME,Freddy Parent,1901
NY,Casey Patten,1901
WI,Roy Patterson,1901
PA,Eddie Plank,1901
OH,Ed Poole,1901
KS,Fred Raymer,1901
OH,Bill Reidy,1901
OH,Socks Seybold,1901
United Kingdom,Al Shaw,1901
KS,Ed Siever,1901
IL,John Skopec,1901
MD,Archie Stimmel,1901
OH,Jack Sutthoff,1901
DE,Happy Townsend,1901
NY,Irv Waldron,1901
DC,Doc White,1901
NY,Snake Wiltse,1901
PA,George Winter,1901
OH,Jack Bracken,1901
OH,Roger Bresnahan,1901
PA,Mal Eason,1901
PA,Bill Friel,1901
KS,Dale Gear,1901
PA,Jack Harper,1901
CA,Zaza Harvey,1901
IL,Tom Hughes,1901
WI,Bert Husting,1901
Germany,Jack Katoll,1901
VA,Watty Lee,1901
PA,Christy Mathewson,1901
OH,Harry McNeal,1901
IN,Roscoe Miller,1901
MA,Fred Mitchell,1901
OH,Earl Moore,1901
NY,Ed Murphy,1901
MI,Frank Owen,1901
NY,Casey Patten,1901
WI,Roy Patterson,1901
PA,Eddie Plank,1901
OH,Ed Poole,1901
OH,Bill Reidy,1901
KS,Ed Siever,1901
IL,John Skopec,1901
MD,Archie Stimmel,1901
OH,Jack Sutthoff,1901
DE,Happy Townsend,1901
DC,Doc White,1901
NY,Snake Wiltse,1901
PA,George Winter,1901
IN,Harry Arndt,1902
PA,George Barclay,1902
MA,Joe Bean,1902
NH,Harry Bemis,1902
OH,Roy Brashear,1902
VA,George Browne,1902
MI,Ike Butler,1902
MA,Pat Carney,1902
,Lou Castro,1902
Canada,Bunk Congalton,1902
IA,Ernie Courtney,1902
Canada,Clarence Currie,1902
IL,Jiggs Donahue,1902
OH,Red Dooin,1902
NY,Patsy Dougherty,1902
MN,Lew Drill,1902
OH,Bob Ewing,1902
MO,Tim Flood,1902
NJ,Harry Gleason,1902
PA,John Gochnaur,1902
OH,Ed Gremminger,1902
MI,Dad Hale,1902
NY,Hughie Hearne,1902
OH,Crese Heismann,1902
KY,Rudy Hulswitt,1902
CA,Ham Iburg,1902
WI,Davy Jones,1902
KY,Jim Jones,1902
PA,Tom Jones,1902
WI,Addie Joss,1902
CA,Henry Krug,1902
VA,Bob Lawson,1902
IL,Carl Lundgren,1902
MD,Gene McCann,1902
MI,Arch McCarthy,1902
PA,Barney McFadden,1902
PA,Dusty Miller,1902
OH,George Mullin,1902
NY,Danny Murphy,1902
PA,Alex Pearson,1902
MO,Bill Popp,1902
DE,George Prentiss,1902
OH,Bob Rhoads,1902
IL,Germany Schaefer,1902
TN,Charlie Shields,1902
IN,Harry Smith,1902
MD,Homer Smoot,1902
NJ,Farmer Steelman,1902
AL,Oscar Streit,1902
MN,Henry Thielman,1902
KS,Joe Tinker,1902
OH,Cy Vorhees,1902
IN,Bob Wicker,1902
MA,Art Williams,1902
ME,Pop Williams,1902
