birth_state,name,rookie_yr
AL,Austin Adams,2015
MA,Nick Ahmed,2015
Dominican Republic,Hanser Alberto,2015
Germany,Aaron Altherr,2015
FL,Jose Alvarez,2015
CA,Cody Anderson,2015
CA,Matt Andriese,2015
Venezuela,Elvis Araujo,2015
Dominican Republic,Pedro Baez,2015
CT,Matt Barnes,2015
IN,Tucker Barnhart,2015
OH,Chris Bassitt,2015
GA,Tim Beckham,2015
GA,Cam Bedrosian,2015
Panama,Christian Bethancourt,2015
TN,Greg Bird,2015
NV,Michael Blazek,2015
DC,Justin Bour,2015
WA,Matthew Boyd,2015
CA,Aaron Brooks,2015
NV,Kris Bryant,2015
Panama,Enrique Burgos,2015
TX,Billy Burns,2015
VA,Eddie Butler,2015
MA,Joey Butler,2015
Dominican Republic,Arquimedes Caminero,2015
CA,Mark Canha,2015
CA,Curt Casali,2015
,Rusney Castillo,2015
Puerto Rico,Juan Centeno,2015
OH,Andrew Chafin,2015
CA,Kevin Chapman,2015
Puerto Rico,Alex Claudio,2015
TX,Tyler Collins,2015
Dominican Republic,Alex Colome,2015
Puerto Rico,Christian Colon,2015
WA,Michael Conforto,2015
WA,Adam Conley,2015
WI,Erik Cordier,2015
Puerto Rico,Carlos Correa,2015
CA,Brandon Cunniff,2015
AL,Todd Cunningham,2015
AZ,Jaff Decker,2015
NJ,Anthony DeSclafani,2015
DE,Delino DeShields,2015
TX,Tyler Duffey,2015
CA,Matt Duffy,2015
KY,Adam Duvall,2015
OH,Jon Edwards,2015
IN,Jerad Eickhoff,2015
GA,Buck Farmer,2015
TX,Taylor Featherston,2015
TX,Thomas Field,2015
TX,Brandon Finnegan,2015
IL,Mike Foltynewicz,2015
CA,Maikel Franco,2015
Dominican Republic,Carlos Frias,2015
Dominican Republic,Frank Garces,2015
Cuba,Adonis Garcia,2015
CA,Greg Garcia,2015
Dominican Republic,Jason Garcia,2015
Dominican Republic,Yimi Garcia,2015
NY,Steve Geltz,2015
CA,Sean Gilmartin,2015
CA,Erik Goeddel,2015
Dominican Republic,Hector Gomez,2015
KY,Trevor Gott,2015
AL,Kendall Graveman,2015
TX,Randal Grichuk,2015
Cuba,Alex Guerrero,2015
CA,Preston Guilmet,2015
WA,Matt Hague,2015
NY,Mitch Harris,2015
OK,Andrew Heaney,2015
TX,Slade Heathcott,2015
CA,Austin Hedges,2015
Venezuela,Enrique Hernandez,2015
Venezuela,Oscar Hernandez,2015
Colombia,Dilson Herrera,2015
Venezuela,Odubel Herrera,2015
FL,Chris Heston,2015
TX,David Holmberg,2015
Cuba,Raisel Iglesias,2015
TX,Taylor Jungmann,2015
PA,Nate Karns,2015
CA,Keone Kela,2015
OH,Phil Klein,2015
TX,Corey Knebel,2015
CA,Bobby LaFromboise,2015
WA,Jake Lamb,2015
CA,Andrew Lambo,2015
MA,Jack Leathersich,2015
Venezuela,Sandy Leon,2015
CA,Adam Liberatore,2015
Puerto Rico,Francisco Lindor,2015
AZ,Kyle Lobstein,2015
CA,Michael Lorenzen,2015
Dominican Republic,Ketel Marte,2015
Belize,Chris Martin,2015
WA,Trevor May,2015
PA,James McCann,2015
TX,Andrew McKirahan,2015
Dominican Republic,Roman Mendez,2015
CA,Justin Miller,2015
NC,Bryan Mitchell,2015
NY,Johnny Monell,2015
Dominican Republic,Rafael Montero,2015
CA,Mike Montgomery,2015
FL,Adam Morgan,2015
TX,Max Muncy,2015
Dominican Republic,Hector Neris,2015
FL,Justin Nicolino,2015
LA,Aaron Nola,2015
TN,Daniel Norris,2015
MA,Scott Oberg,2015
CA,Edgar Olmos,2015
Brazil,Paulo Orlando,2015
Mexico,Roberto Osuna,2015
FL,Henry Owens,2015
KY,Kyle Parker,2015
IL,Spencer Patton,2015
WI,Ben Paulsen,2015
CA,Joc Pederson,2015
Dominican Republic,Carlos Perez,2015
Venezuela,Hernan Perez,2015
Venezuela,Williams Perez,2015
CA,Shane Peterson,2015
,Tommy Pham,2015
CA,Branden Pinder,2015
Venezuela,Jose Pirela,2015
CA,Stephen Piscotty,2015
IL,Kevin Plawecki,2015
Canada,Dalton Pompey,2015
NJ,Anthony Ranaudo,2015
CA,Rob Rasmussen,2015
TX,Robbie Ray,2015
IL,Kenny Roberts,2015
MO,Clint Robinson,2015
Dominican Republic,Hansel Robles,2015
FL,Carlos Rodon,2015
Puerto Rico,Eduardo Rodriguez,2015
NY,Jason Rogers,2015
TX,David Rollins,2015
Puerto Rico,Eddie Rosario,2015
CA,Joe Ross,2015
OH,Ryan Rua,2015
TX,Cameron Rupp,2015
OH,Addison Russell,2015
FL,Kyle Ryan,2015
FL,Casey Sadler,2015
CA,Tyler Saladino,2015
FL,Keyvius Sampson,2015
CA,Aaron Sanchez,2015
Venezuela,Carlos Sanchez,2015
Dominican Republic,Miguel Sano,2015
Dominican Republic,Domingo Santana,2015
KY,Bo Schultz,2015
OH,Kyle Schwarber,2015
Dominican Republic,Luis Severino,2015
OH,Travis Shaw,2015
NV,Chasen Shreve,2015
NC,Carson Smith,2015
IL,Jake Smolinski,2015
Venezuela,Miguel Socolovich,2015
Cuba,Jorge Soler,2015
PA,Cory Spangenberg,2015
GA,Hunter Strickland,2015
CA,Andrew Susac,2015
TX,Blake Swihart,2015
TX,Noah Syndergaard,2015
NJ,Matt Szczur,2015
TX,Ryan Tepera,2015
