name,rookie_yr,birth_state
Phil Powers,1880,NY
John Reilly,1880,OH
Lee Richmond,1880,OH
Jack Rowe,1880,PA
Lou Say,1880,MD
Pop Smith,1880,Canada
Harry Stovey,1880,PA
Bill Tobin,1880,CT
Stump Weidman,1880,
Mickey Welch,1880,NY
Art Whitney,1880,MA
George Wood,1880,Canada
Pat Deasley,1881,PA
Jerry Denny,1881,NY
George Derby,1881,MA
Buck Ewing,1881,OH
John Fox,1881,MA
Jack Lynch,1881,NY
Frank Mountain,1881,NY
Mike Moynahan,1881,IL
Martin Powell,1881,MA
Billy Taylor,1881,DC
Sam Trott,1881,MD
Jim Whitney,1881,NY
Harry Arundel,1882,PA
Jud Birchall,1882,PA
Bob Blakiston,1882,CA
Fatty Briody,1882,NY
Tom Brown,1882,United Kingdom
Pete Browning,1882,KY
Monk Cline,1882,KY
Charlie Comiskey,1882,IL
Hugh Daily,1882,Ireland
Jerry Dorgan,1882,CT
Bert Dorr,1882,NY
Denny Driscoll,1882,MA
Jim Egan,1882,CT
Joe Farrell,1882,NY
Eddie Fusselback,1882,PA
Bill Geiss,1882,
Bill Gleason,1882,MO
Jack Gleason,1882,MO
Jackie Hayes,1882,NY
Guy Hecker,1882,PA
Charlie Householder,1882,PA
Doc Landis,1882,PA
Chappy Lane,1882,PA
Jack Leary,1882,CT
Fred Mann,1882,VT
Leech Maskrey,1882,PA
Harry McCaffery,1882,MO
Jumbo McGinnis,1882,MO
Bid McPhee,1882,NY
Mike Muldoon,1882,
Tony Mullane,1882,Ireland
Henry Myers,1882,PA
Hugh Nicol,1882,United Kingdom
Fred Pfeffer,1882,KY
Gracie Pierce,1882,NY
John Reccius,1882,KY
Chief Roseman,1882,NY
Ed Rowen,1882,CT
John Schappert,1882,NY
Bill Schenck,1882,NY
George Seward,1882,NY
John Shetzline,1882,PA
Bill Smiley,1882,MD
John Smith,1882,MD
Joe Sommer,1882,KY
Dan Stearns,1882,
Cub Stricker,1882,PA
Dan Sullivan,1882,RI
Sleeper Sullivan,1882,Ireland
Ed Swartwood,1882,IL
Bill Sweeney,1882,PA
Dasher Troy,1882,NY
Ed Whiting,1882,PA
Sam Wise,1882,OH
Chicken Wolf,1882,
Jersey Bakley,1883,
Bob Barr,1883,DC
Charlie Buffinton,1883,MA
Dick Burns,1883,MA
Cliff Carroll,1883,IA
John Coleman,1883,NY
Pop Corkhill,1883,PA
Sam Crane,1883,MA
Ed Cushman,1883,OH
Ren Deagle,1883,NY
Tom Dolan,1883,NY
Ed Dundon,1883,OH
Bob Emslie,1883,Canada
Sid Farrar,1883,ME
Jim Field,1883,PA
Bill Gallagher,1883,PA
Mert Hackett,1883,MA
Art Hagan,1883,RI
Hardie Henderson,1883,PA
Mike Hines,1883,Ireland
Jack Jones,1883,OH
John Kelly,1883,NJ
Rudy Kemmler,1883,IL
Ed Kennedy,1883,PA
Bill Kuehne,1883,Germany
Arlie Latham,1883,NH
Fred Lewis,1883,NY
Jim Lillie,1883,CT
Tim Manning,1883,United Kingdom
Jerry McCormick,1883,PA
Frank McLaughlin,1883,Ireland
Tom McLaughlin,1883,KY
Bill Morgan,1883,DC
Sandy Nava,1883,CA
Jack Neagle,1883,NY
Paul Radford,1883,MA
Charlie Reipschlager,1883,NY
Frank Ringo,1883,MO
Dave Rowe,1883,PA
Will Sawyer,1883,OH
Dupee Shaw,1883,MA
Joe Straub,1883,WI
Charlie Sweeney,1883,CA
John Valentine,1883,NY
Ed Andrews,1884,OH
Al Atkinson,1884,IL
Jake Aydelott,1884,IN
Ed Bagley,1884,
George Baker,1884,MO
Phil Baker,1884,PA
Kid Baldwin,1884,KY
Charlie Barber,1884,PA
Sam Barkley,1884,WV
Ike Benners,1884,PA
Charlie Berry,1884,NJ
Bob Black,1884,OH
Henry Boyle,1884,PA
Jack Brennan,1884,
Charlie Briggs,1884,IL
Frank Brill,1884,NY
Ed Brown,1884,IL
Jim Brown,1884,PA
James Burke,1884,MA
Oyster Burns,1884,PA
Kid Butler,1884,MA
John Cahill,1884,CA
Pat Callaghan,1884,NY
Fred Carroll,1884,CA
Bob Caruthers,1884,TN
Dennis Casey,1884,NY
John Clarkson,1884,MA
Jack Clements,1884,PA
Billy Colgan,1884,
Chub Collins,1884,Canada
Ed Conley,1884,MA
John Connor,1884,NJ
Jim Conway,1884,PA
Jack Corcoran,1884,MA
Ed Crane,1884,MA
Joe Crotty,1884,OH
John Crowley,1884,MA
Daisy Davis,1884,MA
John Deasley,1884,PA
Jim Donnelly,1884,CT
Ed Dugan,1884,NY
Joe Ellick,1884,OH
Tom Evers,1884,NY
Frank Fennelly,1884,MA
Charlie Ferguson,1884,VA
John Fischer,1884,
Joe Flynn,1884,RI
Jim Fogarty,1884,CA
Tom Forster,1884,NY
Dave Foutz,1884,MD
Chris Fulmer,1884,PA
Charlie Geggus,1884,
Pretzels Getzien,1884,
